,Instructor_ID,Student_ID,Session_ID,Year,Month,Day,Aircraft,Duration,Training_Type,Exercises,Licence,Season
1,1,1,1,2019,10,8,C-152,1.1,LF_dual,1,PPL,Fall
2,1,1,2,2019,10,15,C-172,1.1,LF_dual,"1,2,3,4,5",PPL,Fall
3,1,1,3,2019,11,6,C-172,0.8,LF_dual,6,PPL,Fall
4,1,1,4,2019,11,26,C-172,0.8,LF_dual,"7,8,9,30",PPL,Fall
5,1,1,6,2020,1,7,C-172,1.1,LF_dual,"5,6,7,8,9,30",PPL,Winter
6,1,1,7,2020,1,15,C-172,0.9,LF_dual,"9,30",PPL,Winter
7,1,1,8,2020,1,21,C-172,1,LF_dual,"9,10,11,30",PPL,Winter
8,1,1,9,2020,1,23,C-172,1.1,LF_dual,"11,12,30",PPL,Winter
9,1,1,10,2020,1,29,C-172,1.3,LF_dual,"12,16,18",PPL,Winter
10,1,1,11,2020,1,30,C-172,1.3,LF_dual,"4,16,17,18,30",PPL,Winter
11,1,1,12,2020,2,4,C-172,1.1,LF_dual,"4,11,12,14,15,16,18,30",PPL,Winter
12,1,1,13,2020,2,11,C-172,0.9,LF_dual,"4,16,17,18,30",PPL,Winter
13,1,1,14,2020,2,12,C-172,1.3,LF_dual,"4,13,14,16,17,18,23,30",PPL,Winter
14,1,1,15,2020,2,20,C-172,0.9,LF_dual,"16,18",PPL,Winter
15,1,1,16,2020,2,25,C-172,1.6,LF_dual,"16,17,18",PPL,Winter
16,1,1,17,2020,3,11,C-172,1,LF_dual,"21,22,29",PPL,Spring
17,1,1,18,2020,3,12,C-172,1.2,LF_dual,"16,17,18",PPL,Spring
18,1,1,19,2020,3,17,C-172,0.8,LF_dual,"16,17,18,20",PPL,Spring
19,1,1,20,2020,3,24,C-172,1.1,LF_dual,"7,8,9,16,17",PPL,Spring
20,1,1,21,2020,6,29,C-172,0.9,LF_dual,17,PPL,Summer
21,1,1,22,2020,7,6,C-172,1.3,LF_dual,"13,16,17,18",PPL,Summer
22,1,1,23,2020,7,7,C-172,1.2,LF_dual,"16,17,18",PPL,Summer
23,1,1,24,2020,7,10,C-172,1,LF_dual,"17,18",PPL,Summer
24,1,1,25,2020,7,13,C-172,1.1,LF_dual,"16,17,18",PPL,Summer
25,1,1,26,2020,7,14,C-172,1.6,LF_dual,"16,17,18,22",PPL,Summer
26,1,1,27,2020,7,17,C-172,1.3,LF_dual,"16,17,18",PPL,Summer
27,1,1,28,2020,7,20,C-172,1.6,LF_dual,"6,9,18,23,24",PPL,Summer
28,1,1,29,2020,7,21,C-172,1.2,LF_dual,"9,15",PPL,Summer
