x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,Year,Month,Day,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.3,03-06-2010 00:00,ON,2010,6,3,,M,,M,,M,,M,,M,,M,,,0,,0,,,M,,M,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.4,04-06-2010 00:00,ON,2010,6,4,17.6,,12.8,,22.3,,1.5,,,M,,M,,,0,,0,,0,,0.4,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.5,05-06-2010 00:00,ON,2010,6,5,20.7,,16.1,,25.2,,1,,,M,,M,,,,M,48,,2.7,,0,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.6,06-06-2010 00:00,ON,2010,6,6,14.6,,10.8,,18.3,,14.8,,,M,,M,,,,M,54,,0,,3.4,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.7,07-06-2010 00:00,ON,2010,6,7,13.9,,9.6,,18.1,,0,,,M,,M,,,,M,52,,0,,4.1,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.8,08-06-2010 00:00,ON,2010,6,8,13.7,,7.1,,20.2,,0,,,M,,M,,,,M,37,,0,,4.3,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.9,09-06-2010 00:00,ON,2010,6,9,12.7,,11.2,,14.1,,3.3,,,M,,M,,,,M,44,,0,,5.3,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.10,10-06-2010 00:00,ON,2010,6,10,16,E,11.2,E,20.7,E,0,E,,M,,M,,,,M,,M,0,E,2,E,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.11,11-06-2010 00:00,ON,2010,6,11,17.1,,11.8,,22.4,,0,,,M,,M,,,0,,0,,0,,0.9,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.12,12-06-2010 00:00,ON,2010,6,12,16.5,,15.1,,17.9,,14.1,,,M,,M,,,,M,37,,0,,1.5,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.13,13-06-2010 00:00,ON,2010,6,13,19.2,,16,,22.4,,0,,,M,,M,,,0,,0,,1.2,,0,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.14,14-06-2010 00:00,ON,2010,6,14,18.7,,12.1,,25.3,,0.5,,,M,,M,,,,M,35,,0.7,,0,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.15,15-06-2010 00:00,ON,2010,6,15,16.9,,11.5,,22.2,,0,,,M,,M,,,0,,0,,0,,1.1,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.16,16-06-2010 00:00,ON,2010,6,16,20.1,,14.5,,25.6,,21,,,M,,M,,,,M,69,,2.1,,0,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.17,17-06-2010 00:00,ON,2010,6,17,19.4,,14,,24.8,,0,,,M,,M,,,,M,50,,1.4,,0,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.18,18-06-2010 00:00,ON,2010,6,18,18.2,,11.2,,25.2,,0,,,M,,M,,,,M,33,,0.2,,0,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.19,19-06-2010 00:00,ON,2010,6,19,21.5,,15.7,,27.2,,3.3,,,M,,M,,,,M,50,,3.5,,0,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.20,20-06-2010 00:00,ON,2010,6,20,21.3,,16.4,,26.2,,0,,,M,,M,,,,M,41,,3.3,,0,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.21,21-06-2010 00:00,ON,2010,6,21,19.7,,14.7,,24.6,,0,,,M,,M,,,0,,0,,1.7,,0,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.22,22-06-2010 00:00,ON,2010,6,22,19.7,,16.4,,23,,19.6,,,M,,M,,,0,,0,,1.7,,0,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.23,23-06-2010 00:00,ON,2010,6,23,21.9,,16.5,,27.3,,0.3,,,M,,M,,,,M,41,,3.9,,0,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.24,24-06-2010 00:00,ON,2010,6,24,20.8,,15.6,,25.9,,31.1,,,M,,M,,,,M,56,,2.8,,0,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.25,25-06-2010 00:00,ON,2010,6,25,19.1,,13.5,,24.7,,0,,,M,,M,,,0,,0,,1.1,,0,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.26,26-06-2010 00:00,ON,2010,6,26,17,,13.8,,20.1,,7,,,M,,M,,,0,,0,,0,,1,,,,,
-78.88334472,43.92277778,OSHAWA,6155875,6155875.2010.6.27,27-06-2010 00:00,ON,2010,6,27,19.4,,15.6,,23.2,,20.6,,,M,,M,,,,M,37,,1.4,,0,,,,,
